lingwa de planeta,inglish,ruski,worda tip,surse
"amiga-ney (amige), amigalik "," (kwel) amiable, affable, friendly",,kwel,
amigina , (kwo) female friend,,kwo,
amigitaa ," (kwo) friendship, amity",,kwo,
amigo , (kwo) male friend,,kwo,
amini , (modus-komo) at least,"по меньшей мере, как минимум: to ve duri amini un ora это продлится по меньшей мере час",loko-komo,
amper , (kwo) ampere,"ампер; sto amper сто ампер, shi mikroamper 10 микроампер",kwo,
amplituda , (kwo) amplitude,амплитуда,kwo,
Amur , (kwo) Amur River,Амур (река),kwo,
amusa , (kwo) amusement,,kwo,
amusi ," (zwo) amuse, entertain","развлекать; забавлять; amusi swa развлекаться, забавляться; amusa развлечение; забава; приятное времяпровождение; amusi-she занимательный",zwo,
amusi swa , amuse oneself,,exampla-ney frasa,
amusi-she , (kwel) amusing,,kwel,
an , (konekti) indicates object of action,"предлог, указывающий объект/цель действия: fai gola an koysa - прицелиться во что-л.; darba an tabla удар по столу; wuli an luna выть на луну; kansa an dom взгляд на дом; lopi kun sikin an koywan побежать с ножом на кого-л.",konekti-partikla,
anakronisma , (kwo) anachronism,анахронизм,kwo,
analis , (kwo) analysis,анализ; разбор; analisi анализировать; analiser аналитик; анализатор,kwo,
analiser , (kwo) analyst; analyser,,kwo,
analisi , (zwo) analyse,,zwo,
analoga , (kwo) analogue,,kwo,
analoge , (kwel) analogous,"аналогичный; analoga аналог; analogitaa аналогия, аналогичность",kwel,
analogem , (komo) analogously,,komo,
analogitaa ," (kwo) analogy, analogousness",,kwo,
ananas , (kwo) pineapple,ананас,kwo,
anar , (kwo) pomegranate (fruit),гранат; anarbaum гранатовое дерево,kwo,
anarbaum , (kwo) pomegranate (tree),,kwo,Hindi
anarkia , (kwo) anarchy,анархия; anarkike анархический; anarkista анархист,kwo,
anarkike , (kwo) anarchic,,kwo,
anarkista , (kwo) anarchist,,kwo,
anatomia , (kwo) anatomy,анатомия,kwo,
anchun ," (kwel) safe, secure",безопасный; anchuntaa безопасность,kwel,
anchuntaa ," (kwo) safety, security",,kwo,Mandarin
Andaman-ney mar , (kwo) Andaman Sea,Андаманское море,kwo,
Andes , (kwo) Andes,Анды,kwo,
Andora , (kwo) Andorra,Андорра,kwo,
anekdot ," (kwo) anecdote, joke, funny story",анекдот,kwo,Bulgarian
anestesia , (kwo) anaesthesia,анестезия,kwo,
angila , (kwo) eel,угорь,kwo,Spanish
anglosaxon ," (kwo, kwel) Anglo-Saxon",англосакс; англосакский,kwo-kwel,
Angola , (kwo) Angola,Ангола,kwo,
angula , (kwo) angle; corner,угол (во всех смыслах); triangula треугольник; rektangula прямоугольник; turni angula завернуть за угол,kwo,
angula-skoba ," (kwo) angle brackets (""<>"")",,kwo,Russian
Anhel-akwalwo , (kwo) Angel Falls,водопад Анхель,kwo,
anima , (kwo) animation,,kwo,
animal , (kwo) animal,животное,kwo,
animasion , (kwo) animation ((making) cartoon),,kwo,
animi ," (zwo) animate, endow with life; enliven, give animation to","одушевлять; оживлять, придавать живость; вдыхать жизнь (в кого-либо); придавать жизнь (чему-либо); animi-ney оживлённый, живой; anima одушевление; воодушевление, пыл, увлечение; shwo kun anima говорить с увлечением; animasion анимация",zwo,
animi-ney , (kwel) animated,,kwel,
anis , (kwo) anise,анис,kwo,Finnish
anjel , (kwo) angel,"ангел; anjellik ангелоподобный, ангельский",kwo,
anjellik ," (kwel) angel-like, angelic",,kwel,
anka , (kwo) anchor,"якорь; anki, fai anka вставать на якорь; mah-lwo anka бросить якорь; ankilok якорное место, место для стоянки судна",kwo,
ankilok , (kwo) berth (space to moor),,kwo,
ankur ," (kwo) sprout, shoot","росток; побег; ankuri всходить, прорастать",kwo,
ankuri ," (zwo) sprout, spring up",,zwo,Hindi
anonime , (kwel) anonymous,анонимный,kwel,
ansambla , (kwo) ensemble,ансамбль,kwo,
ansha , (kwo) hint,,kwo,Mandarin
anshi , (zwo) hint,"намекать, давать понять, наводить на мысль; ansha намёк",zwo,
Antarktida , (kwo) Antarctica (continent),Антарктида,kwo,
Antarktika , (kwo) Antarctica (south polar region),Антарктика; antarktike антарктический,kwo,
antarktike , (kwel) antarctic,,kwel,
antena , (kwo) antenna,антенна,kwo,
Antigua e Barbuda , (kwo) Antigua and Barbuda,Антигуа и Барбуда,kwo,
antilopa , (kwo) antelope,антилопа,kwo,
antipatia , (kwo) antipathy,антипатия,kwo,
antonim , (kwo) antonym,антоним,kwo,
antra , (kwo) gut,кишка; antratot кишечник,kwo,
antratot , (kwo) intestine,,kwo,Hindi
anubav , (kwo) experience,"опыт; anubavi познавать, переживать на опыте; anubav-ney jen опытный человек",kwo,
anubav-ney jen ," experienced person, man of experience",,exampla-ney frasa,
anubavi ," (zwo) experience (cf. ""trajivi"")",,zwo,Hindi
anunsa , (kwo) announcement,,kwo,
anunsi , (zwo) announce; give notice of,"объявлять, извещать; anunsa объявление, анонс",zwo,
anus , (kwo) anus,анус,kwo,
apara , (kwo) appearance,,kwo,
aparat , (kwo) apparatus,аппарат; прибор,kwo,
apari , (zwo) appear (come into existence; to become visible ,появляться; apara появление,zwo,
aparte ," (kwel) separate, detached, apart (from others)","отдельный; apartem отдельно, обособленно; в стороне; apartnik отшельник",kwel,
apartem , (komo) apart,,komo,
apartem fon otres , apart from the others,,exampla-ney frasa,
apartnik , (kwo) hermit,,kwo,
apela , (kwo) appeal,,kwo,
apeli , (zwo) appeal (but not “to be attractive”),"взывать; аппелировать, обращаться; apela аппеляция, обращение, воззвание",zwo,
apena ," (komo) hardly, scarcely, barely","едва, еле, с трудом; едва ли, еле; вряд ли",komo,
apetit , (kwo) appetite,аппетит,kwo,
aplika , (kwo) application,,kwo,
apliken fisika , applied physics,,,
apliki ," (zwo) apply (put on, upon, or to; put to or adapt for a special use; put into action)",применять; aplika применение; apliki-ney (apliken) прикладной,zwo,
apliki-ney (apliken) , (kwel) applied,,kwel,
aploda ," (kwo) applause, clapping",,kwo,
aplodi , (zwo) applaud,аплодировать; aploda аплодисменты,zwo,
apoga ," (kwo) support, prop, rest",опора; apogi опирать(ся); подпирать; прислоняться; apogi on tabla опереться о стол,kwo,
apogi ," (zwo) prop, lean, rest",,zwo,
apogi kontra mur , lean against the wall,,,
apogi on tabla , lean agaist the table,,exampla-ney frasa,
apoplexia , (kwo) apoplexy,апоплексия; apoplexike darba (japat) апоплексический удар,kwo,
apoplexike darba (japat) , apoplectic stroke,,,
aprikos , (kwo) apricot,абрикос,kwo,
april , (kwo) April (also mes-char),апрель (тж. mes-char),kwo,
aproba , (kwo) approbation,,kwo,
aprobi ," (zwo) approve, give approbation to","одобрять; утверждать; aproba одобрение; разрешение, санкция, согласие",zwo,
apropoo , (konekti-komo) apropos; by the way,"кстати (говоря); apropoo om по поводу, насчёт",konekti-komo,
"Apropoo, me haishi bu he lekti sey kitaba. "," By the way, I have not yet read this book. Apropoo sey kitaba, it es ya muy interes-ney. ",,exampla-ney frasa,
arabeska , (kwo) arabesque,"арабеска, восточный узор, орнамент",kwo,
arabi ," (kwel, kwo) Arab; Arabic; Arabic language",араб; арабский; арабский язык; ob yu shwo arabi? вы говорите по-арабски?,kwo-kwel,
arabi sifra , Arabic numerals,,,
Arabiya Saudiya , (kwo) Saudi Arabia,Саудовская Арабия,kwo,
aramaya ," (kwel, kwo) Aramaic",арамейский; арамеец; арамейский язык,kwo-kwel,
aranja ," (kwo) arrangement, deal",,kwo,
Aranjen! , It’s a deal! Agreed!,,exampla-ney frasa,
aranji , (zwo) arrange (plan or prerare for; bring about or come to an agreement; settle),"устраивать, организовывать; уславливаться, договариваться, назначать; mita aranji-ney fo klok dwa встреча, назначенная на 2 часа; aranja договорённость, уговор, сделка; aranjen! договорились!",zwo,
aranji mita , make an appointment,,exampla-ney frasa,
arda , (kwo) earth,"земля (планета; суша; почва); ardagloba земной шар; ardalok территория, участок",kwo,
ardagloba , (kwo) globe (the planet Earth),,kwo,Arabic
ardanuta , (kwo) peanut (Origin: arda+nuta),арахис,kwo,Lidepla
ardaposesa ," (kwo) estate, landed property, manor",,kwo,
ardaposeser , (kwo) landowner,,kwo,
ardatrema , (kwo) earthquake (also “sisma”),,kwo,
area , (kwo) area (measure of extent of a surface),площадь (геом.),kwo,
arena , (kwo) arena,арена (в разн. значениях),kwo,
arenda , (kwo) lease,,kwo,
arendaguan , (kwo) rental agency,,kwo,
arendi ," (zwo) lease, rent, charter","арендовать; брать напрокат; arenda аренда, наём; arendaguan пункт проката",zwo,
aresta ," (kwo) arrest, custody",,kwo,
aresti ," (zwo) arrest, make a prisoner",арестовать; aresta арест,zwo,
argenta , (kwo) silver,серебро; argenta-ney (argente) серебряный; argentefai серебриться,kwo,
argente , (kwel) silver,,kwel,
argentefai , (zwo) shine silver,,zwo,
argon , (kwo) argon (chem.),аргон,kwo,
argumenta ," (kwo) argument (statement put forth as proof, reason)","аргумент, довод, доказательство",kwo,
Arhentina , (kwo) Argentina,Аргентина,kwo,
arhiduka , (kwo) archduke,эрцгерцог,kwo,
arigatoo ," (exklami) thanks, thank you Syn.: danke, shukran",,exklami-partikla,Japanese
aritmetika , (kwo) arithmetic,арифметика; aritmetike арифметический,kwo,
